cart_id,user_id,status,category,cart_value,device
161,3796,completed,electronics,474,desktop
162,3099,completed,clothing,441,mobile
163,3252,completed,electronics,316,mobile
164,798,abandoned,home,263,mobile
165,2260,completed,books,228,desktop
166,4197,completed,books,137,mobile
167,4837,abandoned,clothing,90,mobile
168,954,abandoned,electronics,450,mobile
169,3574,abandoned,electronics,125,desktop
170,1807,completed,clothing,426,desktop
171,2877,completed,books,95,mobile
172,1833,completed,home,209,mobile
173,3610,completed,clothing,129,desktop
174,302,completed,home,359,desktop
175,3355,completed,books,135,mobile
176,4318,completed,electronics,141,desktop
177,4596,completed,books,197,mobile
178,866,abandoned,clothing,210,mobile
179,4489,completed,electronics,251,desktop
180,2427,completed,clothing,473,mobile
181,3031,abandoned,clothing,465,desktop
182,297,abandoned,books,291,desktop
183,2030,completed,clothing,402,mobile
184,3682,abandoned,books,51,mobile
185,708,abandoned,electronics,274,mobile
186,3372,completed,books,338,mobile
187,1247,abandoned,electronics,282,desktop
188,4382,abandoned,books,463,desktop
189,3497,completed,home,466,desktop
190,2611,completed,home,126,desktop
191,1894,abandoned,clothing,165,desktop
192,759,abandoned,books,203,desktop
193,2911,completed,books,455,desktop
194,1469,completed,electronics,152,desktop
195,2086,completed,clothing,243,mobile
196,246,abandoned,books,215,mobile
197,3319,abandoned,clothing,408,desktop
198,3011,completed,home,139,mobile
199,1834,abandoned,books,223,mobile
200,1943,abandoned,books,171,desktop
201,588,completed,clothing,192,mobile
202,3076,completed,books,155,mobile
203,2059,abandoned,clothing,424,mobile
204,2485,abandoned,books,477,desktop
205,3019,abandoned,electronics,354,mobile
206,4836,abandoned,clothing,409,desktop
207,1902,completed,books,366,mobile
208,4161,completed,home,500,mobile
209,3469,abandoned,books,172,mobile
210,362,completed,home,439,mobile
211,723,completed,home,58,mobile
212,1116,completed,electronics,311,desktop
213,3743,completed,clothing,122,desktop
214,2149,completed,books,408,mobile
215,3823,completed,electronics,272,desktop
216,4648,completed,books,465,desktop
217,3208,completed,home,90,desktop
218,4190,abandoned,clothing,419,desktop
219,2156,abandoned,books,253,mobile
220,3270,abandoned,books,313,mobile
221,1782,abandoned,home,377,mobile
222,2355,abandoned,books,227,mobile
223,1254,completed,books,397,mobile
224,4599,abandoned,home,367,desktop
225,3291,abandoned,electronics,133,mobile
226,1796,abandoned,home,367,desktop
227,4091,completed,electronics,160,mobile
228,4823,completed,clothing,300,mobile
229,4782,completed,electronics,432,desktop
230,1748,completed,electronics,56,mobile
231,1545,abandoned,clothing,133,mobile
232,4299,abandoned,electronics,257,mobile
233,4023,completed,home,437,desktop
234,353,abandoned,electronics,439,mobile
235,3283,abandoned,clothing,363,mobile
236,2657,completed,home,71,desktop
237,198,completed,clothing,459,desktop
238,2300,completed,clothing,432,mobile
239,3061,completed,books,52,desktop
240,4533,completed,books,176,mobile
241,3877,completed,clothing,346,mobile
242,2969,completed,clothing,237,mobile
243,3334,completed,clothing,411,desktop
244,3891,abandoned,books,63,mobile
245,1056,completed,books,61,desktop
246,4167,abandoned,electronics,136,desktop
247,260,completed,electronics,61,mobile
248,4593,abandoned,clothing,446,desktop
249,1400,completed,home,74,desktop
250,4087,completed,home,350,mobile
251,1627,abandoned,books,292,desktop
252,1318,abandoned,books,171,desktop
253,4596,abandoned,books,196,mobile
254,4835,completed,clothing,104,mobile
255,3204,completed,home,287,mobile
256,2835,abandoned,electronics,405,desktop
257,4655,abandoned,clothing,222,mobile
258,1054,abandoned,electronics,441,desktop
259,4665,abandoned,electronics,270,desktop
260,3546,completed,clothing,168,mobile
261,1145,abandoned,electronics,358,desktop
262,1793,completed,home,232,desktop
263,3536,completed,electronics,337,mobile
264,662,completed,home,356,mobile
265,2585,abandoned,home,349,mobile
266,3454,completed,home,131,desktop
267,325,completed,books,451,desktop
268,4993,abandoned,electronics,260,desktop
269,1059,completed,clothing,199,desktop
270,4648,abandoned,clothing,86,mobile
271,3167,completed,electronics,401,mobile
272,915,abandoned,books,361,mobile
273,4854,abandoned,books,410,mobile
274,4742,completed,home,108,mobile
275,3220,completed,electronics,180,mobile
276,116,completed,electronics,461,desktop
277,1343,completed,clothing,251,mobile
278,2305,abandoned,electronics,292,mobile
279,2624,completed,books,84,desktop
280,1169,abandoned,electronics,494,desktop
281,3544,completed,clothing,142,mobile
282,2665,abandoned,home,487,desktop
283,1160,abandoned,clothing,496,desktop
284,2427,abandoned,clothing,256,mobile
285,3520,abandoned,home,402,mobile
286,401,completed,clothing,440,mobile
287,4376,completed,clothing,381,mobile
288,706,abandoned,electronics,354,desktop
289,3270,abandoned,electronics,399,mobile
290,799,abandoned,home,262,desktop
291,1239,completed,electronics,208,mobile
292,290,abandoned,electronics,491,mobile
293,2400,abandoned,clothing,494,desktop
294,1080,completed,books,73,desktop
295,3075,completed,electronics,453,desktop
296,1284,abandoned,books,342,desktop
297,3427,abandoned,electronics,53,desktop
298,3494,abandoned,electronics,269,mobile
299,227,completed,home,413,mobile
300,2165,abandoned,home,431,desktop
301,1916,completed,home,69,desktop
302,669,completed,books,493,desktop
303,1995,completed,clothing,201,mobile
304,2833,abandoned,electronics,99,desktop
305,3963,abandoned,electronics,226,mobile
306,4821,abandoned,electronics,484,mobile
307,4114,completed,books,145,mobile
308,3001,abandoned,home,154,mobile
309,1786,completed,clothing,469,desktop
310,3109,abandoned,books,299,mobile
311,254,completed,home,166,desktop
312,2637,completed,books,403,desktop
313,1509,abandoned,clothing,277,mobile
314,4157,completed,home,115,mobile
315,884,abandoned,books,384,mobile
316,3275,abandoned,clothing,467,desktop
317,4441,completed,electronics,469,desktop
318,2906,abandoned,clothing,311,mobile
319,637,completed,electronics,344,desktop
320,1941,abandoned,books,475,mobile
321,2555,abandoned,home,292,mobile
322,624,abandoned,home,420,mobile
323,3050,completed,books,235,desktop
324,4231,abandoned,home,295,mobile
325,4880,abandoned,home,174,desktop
326,4215,completed,electronics,317,mobile
327,2468,completed,books,180,mobile
328,3947,abandoned,clothing,286,mobile
329,4595,abandoned,electronics,67,desktop
330,2801,abandoned,books,89,mobile
331,1071,abandoned,electronics,70,mobile
332,1266,abandoned,clothing,448,desktop
333,2874,completed,clothing,274,desktop
334,2082,completed,books,404,mobile
335,953,completed,clothing,331,mobile
336,4246,abandoned,electronics,57,mobile
337,3836,completed,clothing,149,desktop
338,3869,abandoned,electronics,289,desktop
339,674,abandoned,electronics,136,mobile
340,3361,abandoned,clothing,347,desktop
341,1248,completed,books,477,mobile
342,1815,abandoned,home,63,mobile
343,4877,completed,clothing,383,mobile
344,3954,abandoned,electronics,51,mobile
345,2591,completed,electronics,424,mobile
346,2760,completed,clothing,342,desktop
347,3224,abandoned,books,374,mobile
348,3151,completed,books,471,mobile
349,104,completed,electronics,90,mobile
350,4969,abandoned,electronics,367,desktop
351,976,abandoned,books,365,mobile
352,1091,abandoned,home,430,desktop
353,4242,abandoned,clothing,160,mobile
354,4464,abandoned,electronics,63,mobile
355,4565,completed,electronics,280,mobile
356,735,completed,books,133,desktop
357,1793,completed,clothing,179,mobile
358,1782,abandoned,books,280,mobile
359,4852,abandoned,clothing,375,desktop
360,219,completed,clothing,194,desktop
361,930,abandoned,clothing,428,desktop
362,3775,abandoned,electronics,394,desktop
363,1469,completed,home,77,mobile
364,840,abandoned,books,115,mobile
365,216,abandoned,home,212,mobile
366,2938,abandoned,books,278,desktop
367,1250,completed,clothing,310,desktop
368,2031,abandoned,electronics,498,mobile
369,1112,abandoned,home,473,desktop
370,1764,abandoned,electronics,489,mobile
371,1181,abandoned,books,213,mobile
372,4829,abandoned,electronics,350,mobile
373,612,abandoned,electronics,456,mobile
374,2949,completed,home,352,desktop
375,659,abandoned,clothing,336,desktop
376,3772,abandoned,electronics,444,desktop
377,4683,completed,clothing,59,mobile
378,3443,abandoned,books,244,desktop
379,4170,abandoned,electronics,167,desktop
380,4899,abandoned,home,319,mobile
381,1570,abandoned,books,129,desktop
382,680,completed,books,142,desktop
383,2394,abandoned,home,315,desktop
384,3247,abandoned,electronics,381,mobile
385,4349,completed,electronics,399,mobile
386,1779,abandoned,books,410,mobile
387,3606,abandoned,electronics,306,desktop
388,2844,abandoned,clothing,182,mobile
389,3456,abandoned,home,325,mobile
390,4145,completed,clothing,313,desktop
391,1343,completed,electronics,220,mobile
392,3218,completed,books,50,desktop
393,2241,abandoned,home,362,mobile
394,3159,completed,electronics,113,mobile
395,4648,completed,electronics,423,desktop
396,3059,completed,books,333,mobile
397,2365,abandoned,books,170,mobile
398,2579,abandoned,clothing,156,mobile
399,4746,completed,home,470,desktop
400,1735,completed,home,224,desktop
401,1857,abandoned,books,253,desktop
402,4552,abandoned,clothing,214,mobile
403,2170,completed,home,354,desktop
404,2949,abandoned,books,169,mobile
405,3351,completed,electronics,93,mobile
406,3830,completed,home,361,desktop
407,2589,abandoned,clothing,205,mobile
408,1731,completed,clothing,416,desktop
409,2916,abandoned,clothing,256,mobile
410,1115,completed,electronics,439,mobile
411,1448,abandoned,home,157,desktop
412,4711,abandoned,home,300,desktop
413,3187,completed,electronics,494,mobile
414,2939,abandoned,home,453,mobile
415,435,completed,electronics,419,mobile
416,4692,abandoned,electronics,383,mobile
417,995,completed,electronics,179,desktop
418,3646,completed,clothing,342,desktop
419,951,completed,home,69,desktop
420,1787,abandoned,electronics,331,mobile
421,2031,abandoned,home,334,mobile
422,3846,abandoned,clothing,50,mobile
423,2527,completed,electronics,168,desktop
424,1668,abandoned,books,84,mobile
425,4100,completed,clothing,247,mobile
426,2838,abandoned,books,294,mobile
427,3598,completed,home,108,mobile
428,4013,completed,home,374,desktop
429,1166,completed,clothing,210,desktop
430,4480,abandoned,home,228,mobile
431,2544,abandoned,books,255,mobile
432,4207,completed,electronics,61,desktop
433,3473,abandoned,electronics,325,mobile
434,4069,abandoned,electronics,230,mobile
435,2646,abandoned,clothing,291,mobile
436,853,completed,home,265,mobile
437,2182,completed,books,300,desktop
438,2874,abandoned,home,348,mobile
439,2996,completed,home,175,mobile
440,4285,completed,home,266,mobile
441,875,abandoned,electronics,355,mobile
442,1725,abandoned,books,334,mobile
443,3169,completed,books,234,desktop
444,517,completed,home,88,mobile
445,214,abandoned,electronics,272,mobile
446,716,completed,electronics,233,mobile
447,4074,completed,books,476,mobile
448,3367,completed,electronics,227,mobile
449,925,abandoned,electronics,456,mobile
450,1616,abandoned,electronics,477,mobile
451,3246,completed,clothing,343,desktop
452,512,completed,home,389,desktop
453,828,completed,books,200,mobile
454,3448,abandoned,books,433,mobile
455,2908,completed,clothing,175,desktop
456,775,completed,home,350,desktop
457,3565,abandoned,books,357,mobile
458,2604,completed,electronics,385,desktop
459,3067,abandoned,books,483,desktop
460,2886,completed,electronics,283,desktop
461,1222,completed,clothing,429,desktop
462,4179,completed,electronics,424,desktop
463,1671,abandoned,books,57,desktop
464,2243,abandoned,books,390,mobile
465,1787,abandoned,books,178,mobile
466,4232,completed,clothing,313,mobile
467,3951,abandoned,clothing,206,mobile
468,3540,completed,home,401,desktop
469,3866,completed,books,407,desktop
470,2426,abandoned,electronics,54,mobile
471,3014,completed,clothing,135,desktop
472,4052,completed,books,224,mobile
473,695,completed,books,339,mobile
474,828,completed,clothing,242,mobile
475,1465,completed,home,360,desktop
476,4592,abandoned,clothing,168,desktop
477,798,completed,clothing,267,mobile
478,495,abandoned,electronics,476,desktop
479,4271,abandoned,electronics,463,mobile
480,4460,completed,home,163,mobile
481,2602,completed,books,194,mobile
482,1919,completed,clothing,75,desktop
483,817,abandoned,home,185,mobile
484,2882,completed,electronics,352,mobile
485,3677,abandoned,clothing,281,desktop
486,243,completed,books,418,desktop
487,3240,abandoned,electronics,125,mobile
488,4591,completed,electronics,377,desktop
489,3038,completed,electronics,394,desktop
490,3736,abandoned,home,351,desktop
491,3322,abandoned,books,338,mobile
492,1267,completed,clothing,50,mobile
493,2716,abandoned,home,196,mobile
494,1162,abandoned,home,336,desktop
495,2256,abandoned,home,191,desktop
496,3082,abandoned,electronics,102,mobile
497,3394,completed,books,353,mobile
498,4829,completed,home,118,desktop
499,1256,completed,clothing,410,mobile
500,832,abandoned,books,139,mobile
